UniprotID	ProteinName	Gene
P42768	Wiskott-Aldrich syndrome protein (WASp)	WAS
Q9GZT5	Protein Wnt-10a	WNT10A
O00755	Protein Wnt-7a	WNT7A
Q9UBH6	Xenotropic and polytropic retrovirus receptor 1 (Protein SYG1 homolog) (Xenotropic and polytropic murine leukemia virus receptor X3) (X-receptor)	XPR1
Q9GZS0	"Dynein intermediate chain 2, axonemal (Axonemal dynein intermediate chain 2)"	DNAI2
Q96JM3	Chromosome alignment-maintaining phosphoprotein 1 (Zinc finger protein 828)	CHAMP1
Q8WYQ3	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial (Protein N27C7-4)"	CHCHD10
Q9ULV3	Cip1-interacting zinc finger protein (CDKN1A-interacting zinc finger protein 1) (Nuclear protein NP94) (Zinc finger protein 356)	CIZ1
P25686	DnaJ homolog subfamily B member 2 (Heat shock 40 kDa protein 3) (Heat shock protein J1) (HSJ-1)	DNAJB2
O75190	DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)	DNAJB6
Q9H3Z4	DnaJ homolog subfamily C member 5 (Ceroid-lipofuscinosis neuronal protein 4) (Cysteine string protein) (CSP)	DNAJC5
O00429	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L
Q9Y6K1	DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA)	DNMT3A
Q9UBC3	DNA (cytosine-5)-methyltransferase 3B (Dnmt3b) (EC 2.1.1.37) (DNA methyltransferase HsaIIIB) (DNA MTase HsaIIIB) (M.HsaIIIB)	DNMT3B
P26358	DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT)	DNMT1
Q13609	Deoxyribonuclease gamma (DNase gamma) (EC 3.1.21.-) (DNase I homolog protein DHP2) (Deoxyribonuclease I-like 3) (DNase I-like 3) (Liver and spleen DNase) (LS-DNase) (LSD)	DNASE1L3
Q92608	Dedicator of cytokinesis protein 2	DOCK2
Q96HP0	Dedicator of cytokinesis protein 6	DOCK6
Q96N67	Dedicator of cytokinesis protein 7	DOCK7
Q8NF50	Dedicator of cytokinesis protein 8	DOCK8
Q18PE1	Protein Dok-7 (Downstream of tyrosine kinase 7)	DOK7
Q9UPQ8	Dolichol kinase (EC 2.7.1.108) (Transmembrane protein 15)	DOLK
Q9NYP3	Protein downstream neighbor of Son (B17)	DONSON
P09172	Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase]	DBH
Q1HG44	Dual oxidase maturation factor 2 (Dual oxidase activator 2)	DUOXA2
Q8NEU8	"DCC-interacting protein 13-beta (Dip13-beta) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 2)"	APPL2
A2IDD5	Coiled-coil domain-containing protein 78 (hsCCDC78)	CCDC78
P04234	T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d)	CD3D
Q9Y5K6	CD2-associated protein (Adapter protein CMS) (Cas ligand with multiple SH3 domains)	CD2AP
Q6P1J9	Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein)	CDC73
P13987	CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59)	CD59
O76039	Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)	CDKL5
P46527	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	CDKN1B
P49715	CCAAT/enhancer-binding protein alpha (C/EBP alpha)	CEBPA
O94986	Centrosomal protein of 152 kDa (Cep152)	CEP152
Q96MT8	Centrosomal protein of 63 kDa (Cep63)	CEP63
Q86XR8	Centrosomal protein of 57 kDa (Cep57) (FGF2-interacting protein) (Testis-specific protein 57) (Translokin)	CEP57
Q9H7Y0	Divergent protein kinase domain 2B (Deleted in autism-related protein 1)	DIPK2B
P00450	Ceruloplasmin (EC 1.16.3.1) (Ferroxidase)	CP
Q4LDG9	"Dynein light chain 1, axonemal (LC1)"	DNAL1
P24855	Deoxyribonuclease-1 (EC 3.1.21.1) (Deoxyribonuclease I) (DNase I) (Dornase alfa)	DNASE1
Q9NWW5	Ceroid-lipofuscinosis neuronal protein 6 (Protein CLN6)	CLN6
P05093	"Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (17-alpha-hydroxyprogesterone aldolase) (EC 1.14.14.32) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17) (Steroid 17-alpha-monooxygenase)"	CYP17A1
O15528	"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial (EC 1.14.15.18) (25-OHD-1 alpha-hydroxylase) (25-hydroxyvitamin D(3) 1-alpha-hydroxylase) (VD3 1A hydroxylase) (Calcidiol 1-monooxygenase) (Cytochrome P450 subfamily XXVIIB polypeptide 1) (Cytochrome P450C1 alpha) (Cytochrome P450VD1-alpha) (Cytochrome p450 27B1)"	CYP27B1
Q6VVX0	Vitamin D 25-hydroxylase (EC 1.14.14.24) (Cytochrome P450 2R1)	CYP2R1
Q9H799	Ciliogenesis and planar polarity effector 1 (Protein JBTS17)	CPLANE1
P22914	Gamma-crystallin S (Beta-crystallin S) (Gamma-S-crystallin)	CRYGS
P09603	Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) [Cleaved into: Processed macrophage colony-stimulating factor 1]	CSF1
Q99062	Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)	CSF3R
Q9NSK7	Protein C19orf12	C19orf12
Q96CG8	Collagen triple helix repeat-containing protein 1	CTHRC1
O60716	Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))	CTNND1
Q99895	Chymotrypsin-C (EC 3.4.21.2) (Caldecrin)	CTRC
O14578	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT
Q13618	Cullin-3 (CUL-3)	CUL3
P08686	Steroid 21-hydroxylase (EC 1.14.14.16) (21-OHase) (Cytochrome P-450c21) (Cytochrome P450 21) (Cytochrome P450 XXI) (Cytochrome P450-C21) (Cytochrome P450-C21B)	CYP21A2
Q6V0L0	Cytochrome P450 26C1 (EC 1.14.-.-)	CYP26C1
Q02318	"Sterol 26-hydroxylase, mitochondrial (EC 1.14.15.15) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 26-hydroxylase) (Cytochrome P-450C27/25) (Cytochrome P450 27) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase)"	CYP27A1
O14810	Complexin-1 (Complexin I) (CPX I) (Synaphin-2)	CPLX1
Q6NT55	Cytochrome P450 4F22 (EC 1.14.14.-)	CYP4F22
Q8IZJ3	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8	CPAMD8
P50416	"Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A)"	CPT1A
P31327	"Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)"	CPS1
Q70SY1	Cyclic AMP-responsive element-binding protein 3-like protein 2 (cAMP-responsive element-binding protein 3-like protein 2) (BBF2 human homolog on chromosome 7) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 2]	CREB3L2
P78560	Death domain-containing protein CRADD (Caspase and RIP adapter with death domain) (RIP-associated protein with a death domain)	CRADD
P53672	Beta-crystallin A2 (Beta-A2 crystallin)	CRYBA2
P53673	Beta-crystallin A4 (Beta-A4 crystallin)	CRYBA4
Q96SW2	Protein cereblon	CRBN
Q96D31	Calcium release-activated calcium channel protein 1 (Protein orai-1) (Transmembrane protein 142A)	ORAI1
Q9BU40	Chordin-like protein 1 (Neuralin-1) (Neurogenesin-1) (Ventroptin)	CHRDL1
P07315	Gamma-crystallin C (Gamma-C-crystallin) (Gamma-crystallin 2-1) (Gamma-crystallin 3)	CRYGC
P07320	Gamma-crystallin D (Gamma-D-crystallin) (Gamma-crystallin 4)	CRYGD
Q9P021	Cysteine-rich PDZ-binding protein (Cysteine-rich interactor of PDZ three) (Cysteine-rich interactor of PDZ3)	CRIPT
Q99708	DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2)	RBBP8
P35222	Catenin beta-1 (Beta-catenin)	CTNNB1
Q4G0X9	Coiled-coil domain-containing protein 40	CCDC40
Q9H0W5	Coiled-coil domain-containing protein 8	CCDC8
P53701	Holocytochrome c-type synthase (EC 4.4.1.17) (Cytochrome c-type heme lyase)	HCCS
Q9BSQ5	Cerebral cavernous malformations 2 protein (Malcavernin)	CCM2
Q9H211	DNA replication factor Cdt1 (Double parked homolog) (DUP)	CDT1
Q2WEN9	Carcinoembryonic antigen-related cell adhesion molecule 16 (Carcinoembryonic antigen-like 2)	CEACAM16
Q00534	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6
Q96MT7	Cilia- and flagella-associated protein 44 (WD repeat-containing protein 52)	CFAP44
P08603	Complement factor H (H factor 1)	CFH
Q92796	Disks large homolog 3 (Neuroendocrine-DLG) (Synapse-associated protein 102) (SAP-102) (SAP102) (XLMR)	DLG3
P00751	Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment]	CFB
Q16828	Dual specificity protein phosphatase 6 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST1) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3)	DUSP6
O75881	Cytochrome P450 7B1 (24-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.26) (25/26-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.29) (3-hydroxysteroid 7-alpha hydroxylase) (Oxysterol 7-alpha-hydroxylase)	CYP7B1
P23786	"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)"	CPT2
P26998	"Beta-crystallin B3 (Beta-B3 crystallin) [Cleaved into: Beta-crystallin B3, N-terminally processed]"	CRYBB3
P16220	Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1)	CREB1
Q96HD1	Protein disulfide isomerase CRELD1 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 1)	CRELD1
P07316	Gamma-crystallin B (Gamma-B-crystallin) (Gamma-crystallin 1-2)	CRYGB
Q6XUX3	Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496)	DSTYK
O75462	Cytokine receptor-like factor 1 (Cytokine-like factor 1) (CLF-1) (ZcytoR5)	CRLF1
P82279	Protein crumbs homolog 1	CRB1
Q5IJ48	Protein crumbs homolog 2 (Crumbs-like protein 2)	CRB2
Q14894	Ketimine reductase mu-crystallin (EC 1.5.1.25) (NADP-regulated thyroid-hormone-binding protein)	CRYM
Q6UUV9	CREB-regulated transcription coactivator 1 (Mucoepidermoid carcinoma translocated protein 1) (Transducer of regulated cAMP response element-binding protein 1) (TORC-1) (Transducer of CREB protein 1)	CRTC1
O14936	Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)	CASK
Q8N960	Centrosomal protein of 120 kDa (Cep120) (Coiled-coil domain-containing protein 100)	CEP120
P05156	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]	CFI
P32929	Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)	CTH
Q0VF96	Cingulin-like protein 1 (Junction-associated coiled-coil protein) (Paracingulin)	CGNL1
Q96NL8	Protein C8orf37	C8orf37
P10809	"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)"	HSPD1
Q96BA8	Cyclic AMP-responsive element-binding protein 3-like protein 1 (cAMP-responsive element-binding protein 3-like protein 1) (Old astrocyte specifically-induced substance) (OASIS) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 1]	CREB3L1
P43320	Beta-crystallin B2 (Beta-B2 crystallin) (Beta-crystallin Bp)	CRYBB2
P53674	Beta-crystallin B1 (Beta-B1 crystallin)	CRYBB1
Q9NRD8	Dual oxidase 2 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 2) (Long NOX 2) (NADH/NADPH thyroid oxidase p138-tox) (NADPH oxidase/peroxidase DUOX2) (NADPH thyroid oxidase 2) (Thyroid oxidase 2) (p138 thyroid oxidase)	DUOX2
Q53EZ4	Centrosomal protein of 55 kDa (Cep55) (Up-regulated in colon cancer 6)	CEP55
Q9HC77	Centromere protein J (CENP-J) (Centrosomal P4.1-associated protein) (LAG-3-associated protein) (LYST-interacting protein 1)	CENPJ
Q49MI3	Ceramide kinase-like protein	CERKL
A5D8W1	Cilia- and flagella-associated protein 69	CFAP69
P35462	D(3) dopamine receptor (Dopamine D3 receptor)	DRD3
P21918	D(1B) dopamine receptor (D(5) dopamine receptor) (D1beta dopamine receptor) (Dopamine D5 receptor)	DRD5
Q16643	Drebrin (Developmentally-regulated brain protein)	DBN1
Q9UL01	Dermatan-sulfate epimerase (DS epimerase) (EC 5.1.3.19) (Chondroitin-glucuronate 5-epimerase) (Squamous cell carcinoma antigen recognized by T-cells 2) (SART-2)	DSE
Q02413	Desmoglein-1 (Cadherin family member 4) (Desmosomal glycoprotein 1) (DG1) (DGI) (Pemphigus foliaceus antigen)	DSG1
Q14126	Desmoglein-2 (Cadherin family member 5) (HDGC)	DSG2
Q86SJ6	Desmoglein-4 (Cadherin family member 13)	DSG4
Q13286	Battenin (Batten disease protein) (Protein CLN3)	CLN3
O75503	"Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5) [Cleaved into: Ceroid-lipofuscinosis neuronal protein 5, secreted form]"	CLN5
P49917	DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	LIG4
Q9UBY8	Protein CLN8	CLN8
Q9UKG1	"DCC-interacting protein 13-alpha (Dip13-alpha) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 1)"	APPL1
Q6ZWL3	Cytochrome P450 4V2 (Docosahexaenoic acid omega-hydroxylase CYP4V2) (EC 1.14.14.79) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80)	CYP4V2
Q07973	"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial (24-OHase) (Vitamin D(3) 24-hydroxylase) (EC 1.14.15.16) (Cytochrome P450 24A1) (Cytochrome P450-CC24)"	CYP24A1
Q9UI46	"Dynein intermediate chain 1, axonemal (Axonemal dynein intermediate chain 1)"	DNAI1
Q96KJ9	"Cytochrome c oxidase subunit 4 isoform 2, mitochondrial (Cytochrome c oxidase subunit IV isoform 2) (COX IV-2)"	COX4I2
Q9NR63	Cytochrome P450 26B1 (EC 1.14.13.-) (Cytochrome P450 26A2) (Cytochrome P450 retinoic acid-inactivating 2) (Cytochrome P450RAI-2) (Retinoic acid-metabolizing cytochrome)	CYP26B1
P78329	Cytochrome P450 4F2 (EC 1.14.14.1) (20-hydroxyeicosatetraenoic acid synthase) (20-HETE synthase) (Arachidonic acid omega-hydroxylase) (CYPIVF2) (Cytochrome P450-LTB-omega) (Docosahexaenoic acid omega-hydroxylase) (EC 1.14.14.79) (Leukotriene-B(4) 20-monooxygenase 1) (Leukotriene-B(4) omega-hydroxylase 1) (EC 1.14.14.94) (Phylloquinone omega-hydroxylase CYP4F2) (EC 1.14.14.78)	CYP4F2
P49238	CX3C chemokine receptor 1 (C-X3-C CKR-1) (CX3CR1) (Beta chemokine receptor-like 1) (CMK-BRL-1) (CMK-BRL1) (Fractalkine receptor) (G-protein coupled receptor 13) (V28)	CX3CR1
P14854	Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1)	COX6B1
Q9Y6H8	Gap junction alpha-3 protein (Connexin-46) (Cx46)	GJA3
Q14204	"Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)"	DYNC1H1
Q8NCM8	Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (hDHC11) (Dynein heavy chain isotype 1B)	DYNC2H1
Q9NTQ9	Gap junction beta-4 protein (Connexin-30.3) (Cx30.3)	GJB4
P08574	"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)"	CYC1
Q05193	Dynamin-1 (EC 3.6.5.5)	DNM1
Q9P2K8	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)	EIF2AK4
P00156	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	MT-CYB
P43003	Excitatory amino acid transporter 1 (Sodium-dependent glutamate/aspartate transporter 1) (GLAST-1) (Solute carrier family 1 member 3)	SLC1A3
P99999	Cytochrome c	CYCS
Q96F07	Cytoplasmic FMR1-interacting protein 2 (p53-inducible protein 121)	CYFIP2
P11511	Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (Cytochrome P450 19A1) (Estrogen synthase)	CYP19A1
Q2NKJ3	CST complex subunit CTC1 (Conserved telomere maintenance component 1) (HBV DNAPTP1-transactivated protein B)	CTC1
P35221	Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13)	CTNNA1
O60931	Cystinosin	CTNS
Q5T442	Gap junction gamma-2 protein (Connexin-46.6) (Cx46.6) (Connexin-47) (Cx47) (Gap junction alpha-12 protein)	GJC2
Q9Y463	Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase)	DYRK1B
Q15125	"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)"	EBP
Q66GS9	Centrosomal protein of 135 kDa (Cep135) (Centrosomal protein 4)	CEP135
P02511	Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)	CRYAB
P15509	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GM-CSF-R-alpha) (GMCSFR-alpha) (GMR-alpha) (CDw116) (CD antigen CD116)	CSF2RA
P07333	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	CSF1R
P68400	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	CSNK2A1
P13611	Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein) (GHAP) (Large fibroblast proteoglycan) (PG-M)	VCAN
Q1MSJ5	Centrosome and spindle pole-associated protein 1	CSPP1
P50461	"Cysteine and glycine-rich protein 3 (Cardiac LIM protein) (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)"	CSRP3
P16410	Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152)	CTLA4
P00374	Dihydrofolate reductase (EC 1.5.1.3)	DHFR
O75923	Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1)	DYSF
Q03001	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST
Q8IYY4	Zinc finger protein DZIP1L (DAZ-interacting protein 1-like protein)	DZIP1L
P05108	"Cholesterol side-chain cleavage enzyme, mitochondrial (EC 1.14.15.6) (CYPXIA1) (Cholesterol desmolase) (Cytochrome P450 11A1) (Cytochrome P450(scc))"	CYP11A1
Q8TCG5	"Carnitine O-palmitoyltransferase 1, brain isoform (CPT1-B) (EC 2.3.1.21) (CPT IC) (Carnitine O-palmitoyltransferase I, brain isoform) (CPTI-B) (Carnitine palmitoyltransferase 1C)"	CPT1C
Q9Y4J8	Dystrobrevin alpha (DTN-A) (Alpha-dystrobrevin) (Dystrophin-related protein 3)	DTNA
P20023	Complement receptor type 2 (Cr2) (Complement C3d receptor) (Epstein-Barr virus receptor) (EBV receptor) (CD antigen CD21)	CR2
O75718	Cartilage-associated protein	CRTAP
P02489	Alpha-crystallin A chain (Heat shock protein beta-4) (HspB4) [Cleaved into: Alpha-crystallin A(1-172); Alpha-crystallin A(1-168); Alpha-crystallin A(1-162)]	CRYAA
Q13363	C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)	CTBP1
P17302	Gap junction alpha-1 protein (Connexin-43) (Cx43) (Gap junction 43 kDa heart protein)	GJA1
O95452	Gap junction beta-6 protein (Connexin-30) (Cx30)	GJB6
O75712	Gap junction beta-3 protein (Connexin-31) (Cx31)	GJB3
Q7RTS9	Dymeclin (Dyggve-Melchior-Clausen syndrome protein)	DYM
P13498	Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox) (p22phox)	CYBA
